Statement,URL,Category
"“6 states will cast their (electoral) votes for Trump AND for Biden,” which will lead to a second Trump term.",https://www.politifact.com/factchecks/2020/dec/16/instagram-posts/no-key-swing-states-did-not-cast-electoral-votes-b/,1.0
The American Medical Association rescinded a previous statement and now says hydroxychloroquine is okay for COVID-19.,https://www.politifact.com/factchecks/2020/dec/16/rush-limbaugh/no-american-medical-association-didnt-rescind-stat/,1.0
“Government imposed lockdowns do NOT reduce [COVID-19] cases or stop spikes.”,https://www.politifact.com/factchecks/2020/dec/16/james-gallagher/yes-government-shutdowns-help-slow-covid-19-when-c/,1.0
“NASA confirms earth will go dark for 6 days in December 2020.”,https://www.politifact.com/factchecks/2020/dec/16/blog-posting/no-nasa-didnt-confirm-earth-will-go-dark-six-days/,0.0
Says Kelly Loeffler supports raising taxes on Georgia's middle class.,https://www.politifact.com/factchecks/2020/dec/16/raphael-warnock/kelly-loefflers-support-tax-cut-expires-isnt-suppo/,1.0
"“68% error rate in Michigan Voting Machines. Should be, by law, a tiny percentage of one percent.”",https://www.politifact.com/factchecks/2020/dec/16/donald-trump/trump-tweet-wrongly-suggests-there-were-defects-mi/,1.0
The percentage of Americans with natural immunity from getting COVID-19 is “a very powerful vaccine in itself.”,https://www.politifact.com/factchecks/2020/dec/15/donald-trump/trumps-wrong-15-immunity-resulting-infection-isnt-/,1.0
An optional microchip for COVID-19 vaccines “would give officials information on who has and has not been vaccinated” and “tracks the location of the patient.”,https://www.politifact.com/factchecks/2020/dec/15/facebook-posts/no-chip-covid-19-vaccine-syringes-would-not-be-inj/,1.0
“Pope Francis says covid vaccine will now be required to enter heaven.”,https://www.politifact.com/factchecks/2020/dec/15/facebook-posts/facebook-posts-share-satire-about-pope-francis-cov/,0.0
“Wisconsin is one of the few states that doesn’t allow absentee ballots to be processed before Election Day.”,https://www.politifact.com/factchecks/2020/dec/15/tim-carpenter/wisconsin-one-few-states-ban-absentee-ballot-proce/,5.0
The CDC delivers groceries and cleaning products “twice while you’re in quarantine.”,https://www.politifact.com/factchecks/2020/dec/14/instagram-posts/no-cdc-isnt-delivering-groceries-and-cleaning-prod/,1.0
“Biden did not win legally.”,https://www.politifact.com/factchecks/2020/dec/14/facebook-posts/joe-biden-won-presidential-election-legally/,0.0
"Says Jon Ossoff wants total, blanket amnesty and he wants a total lockdown.",https://www.politifact.com/factchecks/2020/dec/14/david-perdue/jon-ossoff-isnt-total-amnesty-backs-lockdown-only-/,2.0
The COVID-19 pandemic has caused four of the eight “deadliest days in American history.”,https://www.politifact.com/factchecks/2020/dec/11/facebook-posts/chart-showing-deadliest-days-american-history-cont/,3.0
“FDA announces 2 deaths of Pfizer vaccine trial participants from ‘serious adverse events.’”,https://www.politifact.com/factchecks/2020/dec/11/blog-posting/two-vaccine-trial-participants-died-fda-didnt-conn/,2.0
The number of people who have died in the U.S. in 2020 is on par with years prior to COVID-19.,https://www.politifact.com/factchecks/2020/dec/11/facebook-posts/chart-comparing-2020-us-death-toll-previous-years-/,1.0
Says that this year is the first time during his 27 years as senator “that two African Americans have ever served on the same (Senate) committee.”,https://www.politifact.com/factchecks/2020/dec/11/royce-west/examining-black-history-texas-senate/,1.0
If all goes 'well' it'll become federal law to get the (COVID-19) vaccine.,https://www.politifact.com/factchecks/2020/dec/11/facebook-posts/post-falsely-claims-federal-law-would-require-vacc/,1.0
“Biden confirms agenda to microchip the masses”,https://www.politifact.com/factchecks/2020/dec/11/instagram-posts/biden-did-not-confirm-or-support-agenda-microchip-/,0.0
"Says David Perdue “hasn't held a single public town hall meeting in six years” and “sells four meetings a year and a retreat on a private island for a $7,500 corporate PAC check.”",https://www.politifact.com/factchecks/2020/dec/11/jon-ossoff/sen-david-perdue-hasnt-held-town-halls-did-offer-a/,4.0
Photo shows “MAYHEM in Oregon!”,https://www.politifact.com/factchecks/2020/dec/11/viral-image/photo-protests-paris-not-portland-ore/,1.0
